season,date,home,away,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
1979/80,1980-05-04,FC Barcelona,Rayo Vallecano,2,1,,,,,,,,,,,,,,
1979/80,1980-05-04,Hercules CF,Burgos CF,3,0,,,,,,,,,,,,,,
1979/80,1980-05-04,Real Betis,UD Las Palmas,3,0,,,,,,,,,,,,,,
1979/80,1980-05-04,Real Madrid,Atletico Madrid,4,0,,,,,,,,,,,,,,
1979/80,1980-05-04,Real Sociedad,CD Malaga,3,1,,,,,,,,,,,,,,
1979/80,1980-05-04,Real Zaragoza,Athletic Bilbao,1,0,,,,,,,,,,,,,,
1979/80,1980-05-04,Sporting Gijon,Espanyol Barcelona,2,0,,,,,,,,,,,,,,
1979/80,1980-05-04,UD Salamanca,Sevilla FC,2,1,,,,,,,,,,,,,,
1979/80,1980-05-10,Valencia CF,Real Zaragoza,3,0,,,,,,,,,,,,,,
1979/80,1980-05-11,Athletic Bilbao,Real Betis,2,2,,,,,,,,,,,,,,
1979/80,1980-05-11,Atletico Madrid,UD Salamanca,0,1,,,,,,,,,,,,,,
1979/80,1980-05-11,Burgos CF,Sporting Gijon,0,3,,,,,,,,,,,,,,
1979/80,1980-05-11,CD Malaga,Hercules CF,0,2,,,,,,,,,,,,,,
1979/80,1980-05-11,FC Barcelona,Espanyol Barcelona,3,1,,,,,,,,,,,,,,
1979/80,1980-05-11,Rayo Vallecano,AD Almeria,1,2,,,,,,,,,,,,,,
1979/80,1980-05-11,Sevilla FC,Real Sociedad,2,1,,,,,,,,,,,,,,
1979/80,1980-05-11,UD Las Palmas,Real Madrid,1,2,,,,,,,,,,,,,,
1979/80,1980-05-18,AD Almeria,FC Barcelona,1,1,,,,,,,,,,,,,,
1979/80,1980-05-18,Espanyol Barcelona,Burgos CF,1,0,,,,,,,,,,,,,,
1979/80,1980-05-18,Hercules CF,Sevilla FC,0,1,,,,,,,,,,,,,,
1979/80,1980-05-18,Real Betis,Valencia CF,3,0,,,,,,,,,,,,,,
1979/80,1980-05-18,Real Madrid,Athletic Bilbao,3,1,,,,,,,,,,,,,,
1979/80,1980-05-18,Real Sociedad,Atletico Madrid,2,0,,,,,,,,,,,,,,
1979/80,1980-05-18,Real Zaragoza,Rayo Vallecano,3,2,,,,,,,,,,,,,,
1979/80,1980-05-18,Sporting Gijon,CD Malaga,0,1,,,,,,,,,,,,,,
1979/80,1980-05-18,UD Salamanca,UD Las Palmas,2,0,,,,,,,,,,,,,,
1980/81,1980-09-06,Espanyol Barcelona,Hercules CF,2,1,,,,,,,,,,,,,,
1980/81,1980-09-06,Sevilla FC,UD Salamanca,1,0,,,,,,,,,,,,,,
1980/81,1980-09-06,Sporting Gijon,Real Betis,2,0,,,,,,,,,,,,,,
1980/81,1980-09-06,Valencia CF,Real Sociedad,3,2,,,,,,,,,,,,,,
1980/81,1980-09-07,AD Almeria,Real Madrid,1,2,,,,,,,,,,,,,,
1980/81,1980-09-07,Athletic Bilbao,Real Zaragoza,0,1,,,,,,,,,,,,,,
1980/81,1980-09-07,Atletico Madrid,Real Valladolid,5,2,,,,,,,,,,,,,,
1980/81,1980-09-07,CA Osasuna,UD Las Palmas,1,0,,,,,,,,,,,,,,
1980/81,1980-09-07,Real Murcia,FC Barcelona,1,2,,,,,,,,,,,,,,
1980/81,1980-09-13,FC Barcelona,Espanyol Barcelona,3,1,,,,,,,,,,,,,,
1980/81,1980-09-13,Real Sociedad,CA Osasuna,2,1,,,,,,,,,,,,,,
1980/81,1980-09-13,UD Las Palmas,Atletico Madrid,1,1,,,,,,,,,,,,,,
1980/81,1980-09-13,UD Salamanca,Real Murcia,0,3,,,,,,,,,,,,,,
1980/81,1980-09-13,Valencia CF,Real Betis,3,1,,,,,,,,,,,,,,
1980/81,1980-09-14,Hercules CF,Sporting Gijon,1,1,,,,,,,,,,,,,,
1980/81,1980-09-14,Real Madrid,Athletic Bilbao,7,1,,,,,,,,,,,,,,
1980/81,1980-09-14,Real Valladolid,AD Almeria,0,0,,,,,,,,,,,,,,
1980/81,1980-09-14,Real Zaragoza,Sevilla FC,2,0,,,,,,,,,,,,,,
1980/81,1980-09-20,Espanyol Barcelona,UD Salamanca,2,1,,,,,,,,,,,,,,
1980/81,1980-09-21,Athletic Bilbao,Real Valladolid,4,1,,,,,,,,,,,,,,
1980/81,1980-09-21,Atletico Madrid,AD Almeria,2,1,,,,,,,,,,,,,,
1980/81,1980-09-21,CA Osasuna,Real Betis,1,2,,,,,,,,,,,,,,
1980/81,1980-09-21,Real Murcia,Real Zaragoza,0,1,,,,,,,,,,,,,,
1980/81,1980-09-21,Sevilla FC,Real Madrid,2,0,,,,,,,,,,,,,,
1980/81,1980-09-21,Sporting Gijon,FC Barcelona,2,1,,,,,,,,,,,,,,
1980/81,1980-09-21,UD Las Palmas,Real Sociedad,0,3,,,,,,,,,,,,,,
1980/81,1980-09-21,Valencia CF,Hercules CF,0,2,,,,,,,,,,,,,,
1980/81,1980-09-27,FC Barcelona,Valencia CF,0,3,,,,,,,,,,,,,,
1980/81,1980-09-27,Real Sociedad,Atletico Madrid,2,2,,,,,,,,,,,,,,
1980/81,1980-09-28,AD Almeria,Athletic Bilbao,1,1,,,,,,,,,,,,,,
1980/81,1980-09-28,Hercules CF,CA Osasuna,0,0,,,,,,,,,,,,,,
1980/81,1980-09-28,Real Betis,UD Las Palmas,4,1,,,,,,,,,,,,,,
1980/81,1980-09-28,Real Madrid,Real Murcia,4,0,,,,,,,,,,,,,,
1980/81,1980-09-28,Real Valladolid,Sevilla FC,2,3,,,,,,,,,,,,,,
1980/81,1980-09-28,Real Zaragoza,Espanyol Barcelona,2,1,,,,,,,,,,,,,,
1980/81,1980-09-28,UD Salamanca,Sporting Gijon,2,2,,,,,,,,,,,,,,
1980/81,1980-10-04,UD Las Palmas,Hercules CF,1,1,,,,,,,,,,,,,,
1980/81,1980-10-05,Atletico Madrid,Athletic Bilbao,2,1,,,,,,,,,,,,,,
1980/81,1980-10-05,CA Osasuna,FC Barcelona,1,0,,,,,,,,,,,,,,
1980/81,1980-10-05,Espanyol Barcelona,Real Madrid,2,1,,,,,,,,,,,,,,
1980/81,1980-10-05,Real Murcia,Real Valladolid,0,0,,,,,,,,,,,,,,
1980/81,1980-10-05,Real Sociedad,Real Betis,2,2,,,,,,,,,,,,,,
1980/81,1980-10-05,Sevilla FC,AD Almeria,1,0,,,,,,,,,,,,,,
1980/81,1980-10-05,Sporting Gijon,Real Zaragoza,1,1,,,,,,,,,,,,,,
1980/81,1980-10-05,Valencia CF,UD Salamanca,3,0,,,,,,,,,,,,,,
1980/81,1980-10-11,Athletic Bilbao,Sevilla FC,3,0,,,,,,,,,,,,,,
1980/81,1980-10-12,AD Almeria,Real Murcia,0,0,,,,,,,,,,,,,,
1980/81,1980-10-12,FC Barcelona,UD Las Palmas,1,0,,,,,,,,,,,,,,
1980/81,1980-10-12,Hercules CF,Real Sociedad,2,0,,,,,,,,,,,,,,
1980/81,1980-10-12,Real Betis,Atletico Madrid,0,1,,,,,,,,,,,,,,
1980/81,1980-10-12,Real Madrid,Sporting Gijon,1,0,,,,,,,,,,,,,,
1980/81,1980-10-12,Real Valladolid,Espanyol Barcelona,3,1,,,,,,,,,,,,,,
1980/81,1980-10-12,Real Zaragoza,Valencia CF,1,1,,,,,,,,,,,,,,
1980/81,1980-10-12,UD Salamanca,CA Osasuna,1,2,,,,,,,,,,,,,,
1980/81,1980-10-18,UD Las Palmas,UD Salamanca,1,1,,,,,,,,,,,,,,
1980/81,1980-10-18,Valencia CF,Real Madrid,2,1,,,,,,,,,,,,,,
1980/81,1980-10-19,Atletico Madrid,Sevilla FC,2,0,,,,,,,,,,,,,,
1980/81,1980-10-19,CA Osasuna,Real Zaragoza,1,0,,,,,,,,,,,,,,
1980/81,1980-10-19,Espanyol Barcelona,AD Almeria,1,0,,,,,,,,,,,,,,
1980/81,1980-10-19,Real Betis,Hercules CF,2,0,,,,,,,,,,,,,,
1980/81,1980-10-19,Real Murcia,Athletic Bilbao,5,4,,,,,,,,,,,,,,
1980/81,1980-10-19,Real Sociedad,FC Barcelona,2,0,,,,,,,,,,,,,,
1980/81,1980-10-19,Sporting Gijon,Real Valladolid,4,1,,,,,,,,,,,,,,
1980/81,1980-10-26,AD Almeria,Sporting Gijon,1,1,,,,,,,,,,,,,,
1980/81,1980-10-26,Athletic Bilbao,Espanyol Barcelona,1,2,,,,,,,,,,,,,,
1980/81,1980-10-26,FC Barcelona,Real Betis,1,3,,,,,,,,,,,,,,
1980/81,1980-10-26,Hercules CF,Atletico Madrid,1,2,,,,,,,,,,,,,,
1980/81,1980-10-26,Real Madrid,CA Osasuna,3,1,,,,,,,,,,,,,,
1980/81,1980-10-26,Real Valladolid,Valencia CF,2,0,,,,,,,,,,,,,,
1980/81,1980-10-26,Real Zaragoza,UD Las Palmas,2,3,,,,,,,,,,,,,,
1980/81,1980-10-26,Sevilla FC,Real Murcia,1,0,,,,,,,,,,,,,,
1980/81,1980-10-26,UD Salamanca,Real Sociedad,0,2,,,,,,,,,,,,,,
1980/81,1980-11-01,Real Sociedad,Real Zaragoza,1,0,,,,,,,,,,,,,,
1980/81,1980-11-01,UD Las Palmas,Real Madrid,1,0,,,,,,,,,,,,,,
1980/81,1980-11-01,Valencia CF,AD Almeria,3,1,,,,,,,,,,,,,,
1980/81,1980-11-02,Atletico Madrid,Real Murcia,2,1,,,,,,,,,,,,,,
1980/81,1980-11-02,CA Osasuna,Real Valladolid,2,0,,,,,,,,,,,,,,
1980/81,1980-11-02,Espanyol Barcelona,Sevilla FC,2,2,,,,,,,,,,,,,,
1980/81,1980-11-02,Hercules CF,FC Barcelona,0,1,,,,,,,,,,,,,,
1980/81,1980-11-02,Real Betis,UD Salamanca,5,0,,,,,,,,,,,,,,
1980/81,1980-11-02,Sporting Gijon,Athletic Bilbao,1,1,,,,,,,,,,,,,,
1980/81,1980-11-09,AD Almeria,CA Osasuna,1,1,,,,,,,,,,,,,,
1980/81,1980-11-09,Athletic Bilbao,Valencia CF,4,0,,,,,,,,,,,,,,
1980/81,1980-11-09,FC Barcelona,Atletico Madrid,4,2,,,,,,,,,,,,,,
1980/81,1980-11-09,Real Madrid,Real Sociedad,1,0,,,,,,,,,,,,,,
1980/81,1980-11-09,Real Murcia,Espanyol Barcelona,1,1,,,,,,,,,,,,,,
1980/81,1980-11-09,Real Valladolid,UD Las Palmas,3,1,,,,,,,,,,,,,,
1980/81,1980-11-09,Real Zaragoza,Real Betis,2,0,,,,,,,,,,,,,,
1980/81,1980-11-09,Sevilla FC,Sporting Gijon,3,2,,,,,,,,,,,,,,
1980/81,1980-11-09,UD Salamanca,Hercules CF,0,1,,,,,,,,,,,,,,
1980/81,1980-11-15,UD Las Palmas,AD Almeria,3,0,,,,,,,,,,,,,,
1980/81,1980-11-16,Atletico Madrid,Espanyol Barcelona,1,0,,,,,,,,,,,,,,
1980/81,1980-11-16,CA Osasuna,Athletic Bilbao,2,0,,,,,,,,,,,,,,
1980/81,1980-11-16,FC Barcelona,UD Salamanca,3,0,,,,,,,,,,,,,,
1980/81,1980-11-16,Hercules CF,Real Zaragoza,1,1,,,,,,,,,,,,,,
1980/81,1980-11-16,Real Betis,Real Madrid,1,1,,,,,,,,,,,,,,
1980/81,1980-11-16,Real Sociedad,Real Valladolid,1,0,,,,,,,,,,,,,,
1980/81,1980-11-16,Sporting Gijon,Real Murcia,2,0,,,,,,,,,,,,,,
1980/81,1980-11-16,Valencia CF,Sevilla FC,2,0,,,,,,,,,,,,,,
1980/81,1980-11-23,AD Almeria,Real Sociedad,3,2,,,,,,,,,,,,,,
1980/81,1980-11-23,Athletic Bilbao,UD Las Palmas,1,3,,,,,,,,,,,,,,
1980/81,1980-11-23,Espanyol Barcelona,Sporting Gijon,1,0,,,,,,,,,,,,,,
1980/81,1980-11-23,Real Madrid,Hercules CF,3,0,,,,,,,,,,,,,,
1980/81,1980-11-23,Real Murcia,Valencia CF,0,2,,,,,,,,,,,,,,
1980/81,1980-11-23,Real Valladolid,Real Betis,2,1,,,,,,,,,,,,,,
1980/81,1980-11-23,Real Zaragoza,FC Barcelona,1,2,,,,,,,,,,,,,,
1980/81,1980-11-23,Sevilla FC,CA Osasuna,1,0,,,,,,,,,,,,,,
1980/81,1980-11-23,UD Salamanca,Atletico Madrid,1,1,,,,,,,,,,,,,,
1980/81,1980-11-29,UD Las Palmas,Sevilla FC,1,2,,,,,,,,,,,,,,
1980/81,1980-11-30,Atletico Madrid,Sporting Gijon,0,0,,,,,,,,,,,,,,
1980/81,1980-11-30,FC Barcelona,Real Madrid,2,1,,,,,,,,,,,,,,
1980/81,1980-11-30,Hercules CF,Real Valladolid,1,1,,,,,,,,,,,,,,
1980/81,1980-11-30,Real Betis,AD Almeria,2,0,,,,,,,,,,,,,,
1980/81,1980-11-30,Real Sociedad,Athletic Bilbao,4,1,,,,,,,,,,,,,,
1980/81,1980-11-30,UD Salamanca,Real Zaragoza,3,1,,,,,,,,,,,,,,
1980/81,1980-11-30,Valencia CF,Espanyol Barcelona,3,1,,,,,,,,,,,,,,
1980/81,1980-12-07,AD Almeria,Hercules CF,0,3,,,,,,,,,,,,,,
1980/81,1980-12-07,Athletic Bilbao,Real Betis,2,0,,,,,,,,,,,,,,
1980/81,1980-12-07,Espanyol Barcelona,CA Osasuna,0,0,,,,,,,,,,,,,,
1980/81,1980-12-07,Real Madrid,UD Salamanca,2,0,,,,,,,,,,,,,,
1980/81,1980-12-07,Real Murcia,UD Las Palmas,1,2,,,,,,,,,,,,,,
1980/81,1980-12-07,Real Valladolid,FC Barcelona,1,1,,,,,,,,,,,,,,
1980/81,1980-12-07,Real Zaragoza,Atletico Madrid,0,1,,,,,,,,,,,,,,
1980/81,1980-12-07,Sevilla FC,Real Sociedad,0,0,,,,,,,,,,,,,,
1980/81,1980-12-07,Sporting Gijon,Valencia CF,0,0,,,,,,,,,,,,,,
1980/81,1980-12-13,FC Barcelona,AD Almeria,6,0,,,,,,,,,,,,,,
1980/81,1980-12-13,UD Las Palmas,Espanyol Barcelona,2,0,,,,,,,,,,,,,,
1980/81,1980-12-14,Atletico Madrid,Valencia CF,3,1,,,,,,,,,,,,,,
1980/81,1980-12-14,CA Osasuna,Sporting Gijon,3,0,,,,,,,,,,,,,,
1980/81,1980-12-14,Hercules CF,Athletic Bilbao,1,2,,,,,,,,,,,,,,
1980/81,1980-12-14,Real Betis,Sevilla FC,2,0,,,,,,,,,,,,,,
1980/81,1980-12-14,Real Sociedad,Real Murcia,1,0,,,,,,,,,,,,,,
1980/81,1980-12-14,Real Zaragoza,Real Madrid,0,0,,,,,,,,,,,,,,
1980/81,1980-12-14,UD Salamanca,Real Valladolid,2,1,,,,,,,,,,,,,,
1980/81,1980-12-17,CA Osasuna,Real Murcia,3,1,,,,,,,,,,,,,,
1980/81,1980-12-21,AD Almeria,UD Salamanca,3,2,,,,,,,,,,,,,,
1980/81,1980-12-21,Athletic Bilbao,FC Barcelona,4,1,,,,,,,,,,,,,,
1980/81,1980-12-21,Atletico Madrid,Real Madrid,3,1,,,,,,,,,,,,,,
1980/81,1980-12-21,Espanyol Barcelona,Real Sociedad,0,0,,,,,,,,,,,,,,
1980/81,1980-12-21,Real Murcia,Real Betis,2,0,,,,,,,,,,,,,,
1980/81,1980-12-21,Real Valladolid,Real Zaragoza,1,1,,,,,,,,,,,,,,
1980/81,1980-12-21,Sevilla FC,Hercules CF,0,0,,,,,,,,,,,,,,
1980/81,1980-12-21,Sporting Gijon,UD Las Palmas,2,1,,,,,,,,,,,,,,
1980/81,1980-12-21,Valencia CF,CA Osasuna,4,1,,,,,,,,,,,,,,
1980/81,1980-12-27,UD Las Palmas,Valencia CF,1,4,,,,,,,,,,,,,,
1980/81,1980-12-28,CA Osasuna,Atletico Madrid,0,0,,,,,,,,,,,,,,
1980/81,1980-12-28,FC Barcelona,Sevilla FC,3,1,,,,,,,,,,,,,,
1980/81,1980-12-28,Hercules CF,Real Murcia,1,0,,,,,,,,,,,,,,
1980/81,1980-12-28,Real Betis,Espanyol Barcelona,1,2,,,,,,,,,,,,,,
1980/81,1980-12-28,Real Madrid,Real Valladolid,1,1,,,,,,,,,,,,,,
1980/81,1980-12-28,Real Sociedad,Sporting Gijon,1,2,,,,,,,,,,,,,,
1980/81,1980-12-28,Real Zaragoza,AD Almeria,1,0,,,,,,,,,,,,,,
1980/81,1980-12-28,UD Salamanca,Athletic Bilbao,3,2,,,,,,,,,,,,,,
1980/81,1981-01-03,UD Las Palmas,CA Osasuna,2,0,,,,,,,,,,,,,,
1980/81,1981-01-04,FC Barcelona,Real Murcia,1,0,,,,,,,,,,,,,,
1980/81,1981-01-04,Hercules CF,Espanyol Barcelona,2,0,,,,,,,,,,,,,,
1980/81,1981-01-04,Real Betis,Sporting Gijon,2,0,,,,,,,,,,,,,,
1980/81,1981-01-04,Real Madrid,AD Almeria,4,0,,,,,,,,,,,,,,
1980/81,1981-01-04,Real Sociedad,Valencia CF,2,1,,,,,,,,,,,,,,
1980/81,1981-01-04,Real Valladolid,Atletico Madrid,0,2,,,,,,,,,,,,,,
1980/81,1981-01-04,Real Zaragoza,Athletic Bilbao,2,3,,,,,,,,,,,,,,
1980/81,1981-01-04,UD Salamanca,Sevilla FC,0,0,,,,,,,,,,,,,,
1980/81,1981-01-11,AD Almeria,Real Valladolid,1,1,,,,,,,,,,,,,,
1980/81,1981-01-11,Athletic Bilbao,Real Madrid,1,1,,,,,,,,,,,,,,
1980/81,1981-01-11,Atletico Madrid,UD Las Palmas,2,2,,,,,,,,,,,,,,
1980/81,1981-01-11,CA Osasuna,Real Sociedad,0,3,,,,,,,,,,,,,,
1980/81,1981-01-11,Espanyol Barcelona,FC Barcelona,1,0,,,,,,,,,,,,,,
1980/81,1981-01-11,Real Betis,Valencia CF,1,1,,,,,,,,,,,,,,
1980/81,1981-01-11,Real Murcia,UD Salamanca,1,1,,,,,,,,,,,,,,
1980/81,1981-01-11,Sevilla FC,Real Zaragoza,0,0,,,,,,,,,,,,,,
1980/81,1981-01-11,Sporting Gijon,Hercules CF,3,1,,,,,,,,,,,,,,
1980/81,1981-01-17,Real Sociedad,UD Las Palmas,2,0,,,,,,,,,,,,,,
1980/81,1981-01-18,AD Almeria,Atletico Madrid,2,1,,,,,,,,,,,,,,
1980/81,1981-01-18,FC Barcelona,Sporting Gijon,3,1,,,,,,,,,,,,,,
1980/81,1981-01-18,Hercules CF,Valencia CF,1,1,,,,,,,,,,,,,,
1980/81,1981-01-18,Real Betis,CA Osasuna,1,1,,,,,,,,,,,,,,
1980/81,1981-01-18,Real Madrid,Sevilla FC,3,2,,,,,,,,,,,,,,
1980/81,1981-01-18,Real Valladolid,Athletic Bilbao,0,0,,,,,,,,,,,,,,
1980/81,1981-01-18,Real Zaragoza,Real Murcia,1,6,,,,,,,,,,,,,,
1980/81,1981-01-18,UD Salamanca,Espanyol Barcelona,3,2,,,,,,,,,,,,,,
1980/81,1981-01-24,UD Las Palmas,Real Betis,2,4,,,,,,,,,,,,,,
1980/81,1981-01-25,Athletic Bilbao,AD Almeria,5,1,,,,,,,,,,,,,,
1980/81,1981-01-25,Atletico Madrid,Real Sociedad,2,0,,,,,,,,,,,,,,
1980/81,1981-01-25,CA Osasuna,Hercules CF,1,2,,,,,,,,,,,,,,
1980/81,1981-01-25,Espanyol Barcelona,Real Zaragoza,1,1,,,,,,,,,,,,,,
1980/81,1981-01-25,Real Murcia,Real Madrid,1,1,,,,,,,,,,,,,,
1980/81,1981-01-25,Sevilla FC,Real Valladolid,1,0,,,,,,,,,,,,,,
1980/81,1981-01-25,Sporting Gijon,UD Salamanca,4,0,,,,,,,,,,,,,,
1980/81,1981-01-25,Valencia CF,FC Barcelona,3,3,,,,,,,,,,,,,,
1980/81,1981-02-01,AD Almeria,Sevilla FC,0,0,,,,,,,,,,,,,,
1980/81,1981-02-01,Athletic Bilbao,Atletico Madrid,3,1,,,,,,,,,,,,,,
1980/81,1981-02-01,FC Barcelona,CA Osasuna,6,0,,,,,,,,,,,,,,
1980/81,1981-02-01,Hercules CF,UD Las Palmas,2,3,,,,,,,,,,,,,,
1980/81,1981-02-01,Real Betis,Real Sociedad,1,0,,,,,,,,,,,,,,
1980/81,1981-02-01,Real Madrid,Espanyol Barcelona,1,2,,,,,,,,,,,,,,
1980/81,1981-02-01,Real Valladolid,Real Murcia,1,0,,,,,,,,,,,,,,
1980/81,1981-02-01,Real Zaragoza,Sporting Gijon,0,0,,,,,,,,,,,,,,
1980/81,1981-02-01,UD Salamanca,Valencia CF,0,1,,,,,,,,,,,,,,
1980/81,1981-02-07,UD Las Palmas,FC Barcelona,1,4,,,,,,,,,,,,,,
1980/81,1981-02-08,Atletico Madrid,Real Betis,0,4,,,,,,,,,,,,,,
1980/81,1981-02-08,CA Osasuna,UD Salamanca,1,1,,,,,,,,,,,,,,
1980/81,1981-02-08,Espanyol Barcelona,Real Valladolid,0,0,,,,,,,,,,,,,,
1980/81,1981-02-08,Real Murcia,AD Almeria,2,1,,,,,,,,,,,,,,
1980/81,1981-02-08,Real Sociedad,Hercules CF,1,1,,,,,,,,,,,,,,
1980/81,1981-02-08,Sevilla FC,Athletic Bilbao,2,0,,,,,,,,,,,,,,
1980/81,1981-02-08,Sporting Gijon,Real Madrid,4,0,,,,,,,,,,,,,,
1980/81,1981-02-08,Valencia CF,Real Zaragoza,3,0,,,,,,,,,,,,,,
1980/81,1981-02-15,AD Almeria,Espanyol Barcelona,2,0,,,,,,,,,,,,,,
1980/81,1981-02-15,Athletic Bilbao,Real Murcia,3,0,,,,,,,,,,,,,,
1980/81,1981-02-15,FC Barcelona,Real Sociedad,2,0,,,,,,,,,,,,,,
1980/81,1981-02-15,Hercules CF,Real Betis,0,1,,,,,,,,,,,,,,
1980/81,1981-02-15,Real Madrid,Valencia CF,2,1,,,,,,,,,,,,,,
1980/81,1981-02-15,Real Valladolid,Sporting Gijon,1,2,,,,,,,,,,,,,,
1980/81,1981-02-15,Real Zaragoza,CA Osasuna,3,1,,,,,,,,,,,,,,
1980/81,1981-02-15,Sevilla FC,Atletico Madrid,1,1,,,,,,,,,,,,,,
1980/81,1981-02-15,UD Salamanca,UD Las Palmas,0,2,,,,,,,,,,,,,,
1980/81,1981-02-21,UD Las Palmas,Real Zaragoza,3,0,,,,,,,,,,,,,,
1980/81,1981-02-22,Atletico Madrid,Hercules CF,1,0,,,,,,,,,,,,,,
1980/81,1981-02-22,CA Osasuna,Real Madrid,1,2,,,,,,,,,,,,,,
1980/81,1981-02-22,Espanyol Barcelona,Athletic Bilbao,1,0,,,,,,,,,,,,,,
1980/81,1981-02-22,Real Betis,FC Barcelona,1,1,,,,,,,,,,,,,,
1980/81,1981-02-22,Real Murcia,Sevilla FC,0,0,,,,,,,,,,,,,,
1980/81,1981-02-22,Real Sociedad,UD Salamanca,1,0,,,,,,,,,,,,,,
1980/81,1981-02-22,Sporting Gijon,AD Almeria,5,2,,,,,,,,,,,,,,
1980/81,1981-02-22,Valencia CF,Real Valladolid,2,2,,,,,,,,,,,,,,
1980/81,1981-02-28,Real Madrid,UD Las Palmas,3,0,,,,,,,,,,,,,,
1980/81,1981-03-01,AD Almeria,Valencia CF,1,0,,,,,,,,,,,,,,
1980/81,1981-03-01,Athletic Bilbao,Sporting Gijon,1,1,,,,,,,,,,,,,,
1980/81,1981-03-01,FC Barcelona,Hercules CF,6,0,,,,,,,,,,,,,,
1980/81,1981-03-01,Real Murcia,Atletico Madrid,0,2,,,,,,,,,,,,,,
1980/81,1981-03-01,Real Valladolid,CA Osasuna,2,1,,,,,,,,,,,,,,
1980/81,1981-03-01,Real Zaragoza,Real Sociedad,0,1,,,,,,,,,,,,,,
1980/81,1981-03-01,Sevilla FC,Espanyol Barcelona,2,0,,,,,,,,,,,,,,
1980/81,1981-03-01,UD Salamanca,Real Betis,2,0,,,,,,,,,,,,,,
1980/81,1981-03-08,Atletico Madrid,FC Barcelona,1,0,,,,,,,,,,,,,,
1980/81,1981-03-08,CA Osasuna,AD Almeria,2,1,,,,,,,,,,,,,,
1980/81,1981-03-08,Espanyol Barcelona,Real Murcia,2,1,,,,,,,,,,,,,,
1980/81,1981-03-08,Hercules CF,UD Salamanca,3,2,,,,,,,,,,,,,,
1980/81,1981-03-08,Real Betis,Real Zaragoza,2,0,,,,,,,,,,,,,,
1980/81,1981-03-08,Real Sociedad,Real Madrid,3,1,,,,,,,,,,,,,,
1980/81,1981-03-08,Sporting Gijon,Sevilla FC,3,0,,,,,,,,,,,,,,
1980/81,1981-03-08,UD Las Palmas,Real Valladolid,0,2,,,,,,,,,,,,,,
1980/81,1981-03-08,Valencia CF,Athletic Bilbao,0,0,,,,,,,,,,,,,,
1980/81,1981-03-15,AD Almeria,UD Las Palmas,0,1,,,,,,,,,,,,,,
1980/81,1981-03-15,Athletic Bilbao,CA Osasuna,1,1,,,,,,,,,,,,,,
1980/81,1981-03-15,Espanyol Barcelona,Atletico Madrid,2,0,,,,,,,,,,,,,,
1980/81,1981-03-15,Real Madrid,Real Betis,4,2,,,,,,,,,,,,,,
1980/81,1981-03-15,Real Murcia,Sporting Gijon,2,1,,,,,,,,,,,,,,
1980/81,1981-03-15,Real Valladolid,Real Sociedad,0,0,,,,,,,,,,,,,,
1980/81,1981-03-15,Real Zaragoza,Hercules CF,1,1,,,,,,,,,,,,,,
1980/81,1981-03-15,Sevilla FC,Valencia CF,1,0,,,,,,,,,,,,,,
1980/81,1981-03-15,UD Salamanca,FC Barcelona,2,1,,,,,,,,,,,,,,
1980/81,1981-03-21,UD Las Palmas,Athletic Bilbao,1,3,,,,,,,,,,,,,,
1980/81,1981-03-22,Atletico Madrid,UD Salamanca,1,1,,,,,,,,,,,,,,
1980/81,1981-03-22,CA Osasuna,Sevilla FC,2,1,,,,,,,,,,,,,,
1980/81,1981-03-22,FC Barcelona,Real Zaragoza,0,0,,,,,,,,,,,,,,
1980/81,1981-03-22,Hercules CF,Real Madrid,1,2,,,,,,,,,,,,,,
1980/81,1981-03-22,Real Betis,Real Valladolid,2,2,,,,,,,,,,,,,,
1980/81,1981-03-22,Real Sociedad,AD Almeria,3,1,,,,,,,,,,,,,,
1980/81,1981-03-22,Sporting Gijon,Espanyol Barcelona,0,1,,,,,,,,,,,,,,
1980/81,1981-03-22,Valencia CF,Real Murcia,3,2,,,,,,,,,,,,,,
1980/81,1981-03-29,AD Almeria,Real Betis,0,2,,,,,,,,,,,,,,
1980/81,1981-03-29,Athletic Bilbao,Real Sociedad,0,2,,,,,,,,,,,,,,
1980/81,1981-03-29,Espanyol Barcelona,Valencia CF,1,2,,,,,,,,,,,,,,
1980/81,1981-03-29,Real Madrid,FC Barcelona,3,0,,,,,,,,,,,,,,
1980/81,1981-03-29,Real Murcia,CA Osasuna,1,0,,,,,,,,,,,,,,
1980/81,1981-03-29,Real Valladolid,Hercules CF,2,1,,,,,,,,,,,,,,
1980/81,1981-03-29,Real Zaragoza,UD Salamanca,2,0,,,,,,,,,,,,,,
1980/81,1981-03-29,Sevilla FC,UD Las Palmas,3,2,,,,,,,,,,,,,,
1980/81,1981-03-29,Sporting Gijon,Atletico Madrid,3,0,,,,,,,,,,,,,,
1980/81,1981-04-04,UD Las Palmas,Real Murcia,1,2,,,,,,,,,,,,,,
1980/81,1981-04-04,UD Salamanca,Real Madrid,1,3,,,,,,,,,,,,,,
1980/81,1981-04-05,Atletico Madrid,Real Zaragoza,1,2,,,,,,,,,,,,,,
1980/81,1981-04-05,CA Osasuna,Espanyol Barcelona,1,0,,,,,,,,,,,,,,
